Fecha,Plataforma,Tipo,Descripcion,Archivo_contenido,Hashtags
2026-06-01,Instagram,Imagen,Bienvenido a Autónomos España 🇪🇸,output/skool/posts_img/lunes-post-instagram.html,#autonomosespana #autonomo #freelance
2026-06-01,TikTok,Video,Video bienvenida comunidad,output/skool/videos/lunes_script_bienvenida.md,#autonomo #comunidad
2026-06-01,LinkedIn,Texto,Presentacion comunidad Autonomos España,,#autonomos #freelance #comunidad
2026-06-02,Instagram,Reel,5 herramientas gratis para autonomos,output/skool/videos/martes_script_reel_herramientas.md,#herramientas #gratis #autonomo
2026-06-02,TikTok,Video,5 apps gratis para autonomos espanoles,output/skool/videos/martes_script_reel_herramientas.md,#autonomo #herramientas
2026-06-03,Instagram,Carousel,Cuanto deberias cobrar como autonomo,output/skool/posts/miercoles_carousel_instagram.md,#precios #autonomo #freelance
2026-06-03,LinkedIn,Texto,El error mas caro que cometi como autonomo,output/skool/redes/miercoles_post_linkedin.txt,#autonomos #precios
2026-06-04,Instagram,Imagen,Como facturar en 2026,output/skool/posts_img/jueves-facturacion-post.html,#facturacion #IVA #autonomo
2026-06-04,YouTube,Video,Como facturar en Espana 2026,output/skool/videos/jueves_script_tutorial_facturacion.md,tutorial facturacion autonomo
2026-06-05,Instagram,Imagen,Resumen semana 1,,#autonomosespana #semana1 #resumen
2026-06-05,TikTok,Reel,Teaser semana 2,output/skool/videos/viernes_script_teaser_semana2.md,#autonomo #semana2 #teaser
